Stop names	Kunovice,,Let[]	Staré Město,,obchodní zóna[]	Uherské Hradiště,,aut.nádr.[]	Uherské Hradiště,,nemocnice[]	Uherské Hradiště,Jarošov,náves[]	Uherské Hradiště,Mařatice,Derflanská[]	Uherské Hradiště,Mařatice,Jaktáře[]	Uherské Hradiště,Mařatice,R.Kubíčka[]	Uherské Hradiště,Mařatice,hřbitov točna[]	Uherské Hradiště,Štěpnice,U Olšávky[]	Uherské Hradiště,,garáže ČSAD[]
Kunovice,,Let[]	0	20	16	20	23	11	20	12	15	22	14
Staré Město,,obchodní zóna[]	20	0	4	8	11	9	8	10	10	10	6
Uherské Hradiště,,aut.nádr.[]	16	4	0	4	7	5	4	6	6	6	2
Uherské Hradiště,,nemocnice[]	20	8	4	0	11	9	8	10	10	2	6
Uherské Hradiště,Jarošov,náves[]	23	11	7	11	0	12	3	11	13	13	9
Uherské Hradiště,Mařatice,Derflanská[]	11	9	5	9	12	0	9	1	4	11	3
Uherské Hradiště,Mařatice,Jaktáře[]	20	8	4	8	3	9	0	8	10	10	6
Uherské Hradiště,Mařatice,R.Kubíčka[]	12	10	6	10	11	1	8	0	3	12	4
Uherské Hradiště,Mařatice,hřbitov točna[]	15	10	6	10	13	4	10	3	0	12	7
Uherské Hradiště,Štěpnice,U Olšávky[]	22	10	6	2	13	11	10	12	12	0	8
Uherské Hradiště,,garáže ČSAD[]	14	6	2	6	9	3	6	4	7	8	0
